sample_name	accession_no	age	age_units	animal_name	antibiotic_use	body_habitat	body_product	body_site	clns_testing	collection_device	collection_method	collection_time	collection_time_point	collection_timestamp	current_behavior_of_animal_if_out_of_the_ordinary	date	day_of_diet_transition	deceased	description	diet_beef_quantity	diet_beef_quantity_units	diet_composition	diet_consumption	diet_horse_quantity	diet_horse_quantity_units	diet_intervention	diet_offered	dna_extracted	dob	elevation	elevation_units	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	fecal_score	feeding_phase_categorical	feeding_phase_continuous	filename	geo_loc_name	healthy_liver	host_age	host_age_units	host_body_habitat	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	inj_num	latitude	latitude_units	life_stage	liver_health	longitude	longitude_units	medical_or_chronic_problems	medication_amoxicillin	medication_cefalexin	medication_clavamox	medication_denamarin	medication_famotidine	medication_flagyl	medication_lactalose	medication_meloxicam	medication_omezaprole	medication_zofran	ms_sample_name	physical_specimen_location	physical_specimen_remaining	plate_num	position	qiita_study_id	sample_processing	sample_type	sampled_location	scientific_name	sex	sex_mf	sibling	source	stool_other	supplement_given	taxon_id	time_feces	time_feces_collected	time_feces_sampled	time_of_day_feces_collected	time_point	time_point_units	time_to_process	time_to_process_units	title
11872.G84746	615390	3.91	years	OKUBI	no	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	Blood drawn, normal levels	tube; swube	manually	not applicable	13	1/28/18	none reported	1/28/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not applicable	lb	no	beef	TRUE	9/1/14	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	3	phase 1	1	G84746_RF5_01_35154.mzXML	USA:CA:San Diego	TRUE	3.91	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	OKUBI	32536	not provided	missing: not provided	35154	33.0974	Decimal degrees	adult	healthy	116.9957	Decimal degrees	none reported	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	G84746	UCSD: Dorrestein lab	TRUE	1	RF5	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	male	M	NO	not applicable	flakey	no	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84747	610376	7.66	years	KIBURI	no	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	Liver biopsy; healthy	tube; swube	manually	not applicable	14	1/29/18	none reported	1/29/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not collected	lb	no	beef	TRUE	11/15/10	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	2	phase 1	1	G84747_BF11_01_35279.mzXML	USA:CA:San Diego	TRUE	7.66	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	KIBURI	32536	not provided	missing: not provided	35279	33.0974	Decimal degrees	adult	healthy	116.9957	Decimal degrees	none reported	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	G84747	UCSD: Dorrestein lab	TRUE	2	BF11	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	male	M	NO	not applicable	not provided	no	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84748	615390	3.91	years	OKUBI	no	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	Blood drawn, normal levels	tube; swube	manually	not applicable	14	1/29/18	none reported	1/29/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not applicable	lb	no	beef	TRUE	9/1/14	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	4	phase 1	1	G84748_BD9_01_35242.mzXML	USA:CA:San Diego	TRUE	3.91	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	OKUBI	32536	not provided	missing: not provided	35242	33.0974	Decimal degrees	adult	healthy	116.9957	Decimal degrees	none reported	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	G84748	UCSD: Dorrestein lab	TRUE	2	BD9	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	male	M	NO	not applicable	fibrous, flakey	no	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84749	615391	3.91	years	ISOKA	yes	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	Blood drawn; normal levels	tube; swube	manually	not applicable	14	1/29/18	none reported	1/29/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not collected	lb	no	beef	TRUE	9/1/14	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	4	phase 1	1	G84749_BD11_01_35244.mzXML	USA:CA:San Diego	TRUE	3.91	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	ISOKA	32536	not provided	missing: not provided	35244	33.0974	Decimal degrees	adult	healthy	116.9957	Decimal degrees	medication: amoxicillin, flagyl, omezaprole	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	G84749	UCSD: Dorrestein lab	TRUE	2	BD11	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	male	M	NO	not applicable	not provided	no	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84750	609201	9.08	years	JOHARI	no	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	CLNS; severe	tube; swube	manually	not applicable	14	1/29/18	none reported	1/29/18	All cats on Special Beef	yes	stool	not collected	lb	beef	not collected	not collected	lb	no	beef	TRUE	5/24/09	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	2	phase 1	1	G84750_BA6_01_35199.mzXML	USA:CA:San Diego	FALSE	9.08	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	JOHARI	32536	not provided	missing: not provided	35199	33.0974	Decimal degrees	adult	CLNS; severe	116.9957	Decimal degrees	medication: denamarin, lactulose	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	G84750	UCSD: Dorrestein lab	TRUE	2	BA6	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	female	F	DENAMARIN	not applicable	white pieces	denamarin	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84751	614426	3.91	years	BAHATI	no	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	Blood drawn; normal levels	tube; swube	manually	not applicable	14	1/29/18	none reported	1/29/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not applicable	lb	no	beef	TRUE	9/1/14	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	2	phase 1	1	G84751_BB9_01_35216.mzXML	USA:CA:San Diego	TRUE	3.91	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	BAHATI	32536	not provided	missing: not provided	35216	33.0974	Decimal degrees	adult	healthy	116.9957	Decimal degrees	none reported	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	G84751	UCSD: Dorrestein lab	TRUE	2	BB9	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	female	F	not applicable	not applicable	fibrous	no	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84752	609025	9.4	years	AMARA	no	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	CLNS; mild	tube; swube	manually	not applicable	15	1/30/18	none reported	1/30/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not collected	lb	no	beef	TRUE	2/18/09	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	2	phase 1	1	G84752_RB3_01_35094.mzXML	USA:CA:San Diego	FALSE	9.4	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	AMARA	32536	not provided	missing: not provided	35094	33.0974	Decimal degrees	adult	CLNS; mild	116.9957	Decimal degrees	medication: denamarin	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	G84752	UCSD: Dorrestein lab	TRUE	1	RB3	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	female	F	not applicable	not applicable	not provided	denamarin	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84753	610376	7.66	years	KIBURI	no	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	Liver biopsy; healthy	tube; swube	manually	not applicable	15	1/30/18	none reported	1/30/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not collected	lb	no	beef	TRUE	11/15/10	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	2	phase 1	1	G84753_RH11_01_35420.mzXML	USA:CA:San Diego	TRUE	7.66	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	KIBURI	32536	not provided	missing: not provided	35420	33.0974	Decimal degrees	adult	healthy	116.9957	Decimal degrees	none reported	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	G84753	UCSD: Dorrestein lab	TRUE	3	RH11	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	male	M	NO	not applicable	not provided	no	1861841	overnight	not provided	not collected	pm	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84754	615390	3.91	years	OKUBI	no	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	Blood drawn, normal levels	tube; swube	manually	not applicable	15	1/30/18	none reported	1/30/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not applicable	lb	no	beef	TRUE	9/1/14	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	4	phase 1	1	G84754_RH3_01_35411.mzXML	USA:CA:San Diego	TRUE	3.91	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	OKUBI	32536	not provided	missing: not provided	35411	33.0974	Decimal degrees	adult	healthy	116.9957	Decimal degrees	none reported	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	G84754	UCSD: Dorrestein lab	TRUE	3	RH3	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	male	M	NO	not applicable	white pieces	no	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84755	615391	3.91	years	ISOKA	yes	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	Blood drawn; normal levels	tube; swube	manually	not applicable	15	1/30/18	none reported	1/30/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not collected	lb	no	beef	TRUE	9/1/14	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	4	phase 1	1	G84755_BB9_01_35556.mzXML	USA:CA:San Diego	TRUE	3.91	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	ISOKA	32536	not provided	missing: not provided	35556	33.0974	Decimal degrees	adult	healthy	116.9957	Decimal degrees	medication: amoxicillin, flagyl,omezaprole	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	G84755	UCSD: Dorrestein lab	TRUE	5	BB9	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	male	M	NO	not applicable	white pieces	no	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84756	609201	9.08	years	JOHARI	no	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	CLNS; severe	tube; swube	manually	not applicable	17	2/1/18	none reported	2/1/18	All cats on Special Beef	yes	stool	not collected	lb	beef	not collected	not collected	lb	no	beef	TRUE	5/24/09	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	3.5	phase 1	1	G84756_RC12_01_35694.mzXML	USA:CA:San Diego	FALSE	9.08	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	JOHARI	32536	not provided	missing: not provided	35694	33.0974	Decimal degrees	adult	CLNS; severe	116.9957	Decimal degrees	medication: denamarin, lactulose	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	G84756	UCSD: Dorrestein lab	TRUE	6	RC12	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	female	F	DENAMARIN	not applicable	not provided	denamarin	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84757	614426	3.91	years	BAHATI	no	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	Blood drawn; normal levels	tube; swube	manually	not applicable	15	1/30/18	none reported	1/30/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not applicable	lb	no	beef	TRUE	9/1/14	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	3	phase 1	1	G84757_RG4_01_35739.mzXML	USA:CA:San Diego	TRUE	3.91	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	BAHATI	32536	not provided	missing: not provided	35739	33.0974	Decimal degrees	adult	healthy	116.9957	Decimal degrees	none reported	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	G84757	UCSD: Dorrestein lab	TRUE	6	RG4	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	female	F	not applicable	not applicable	not provided	no	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84758	609025	9.4	years	AMARA	no	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	CLNS; mild	tube; swube	manually	not applicable	16	1/31/18	none reported	1/31/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not collected	lb	no	beef	TRUE	2/18/09	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	3	phase 1	1	G84758_RF12_01_35733.mzXML	USA:CA:San Diego	FALSE	9.4	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	AMARA	32536	not provided	missing: not provided	35733	33.0974	Decimal degrees	adult	CLNS; mild	116.9957	Decimal degrees	medication: denamarin	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	G84758	UCSD: Dorrestein lab	TRUE	6	RF12	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	female	F	not applicable	not applicable	not provided	denamarin	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84759	614426	3.91	years	BAHATI	no	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	Blood drawn; normal levels	tube; swube	manually	not applicable	16	1/31/18	none reported	1/31/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not applicable	lb	no	beef	TRUE	9/1/14	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	3	phase 1	1	G84759_RA3_01_35659.mzXML	USA:CA:San Diego	TRUE	3.91	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	BAHATI	32536	not provided	missing: not provided	35659	33.0974	Decimal degrees	adult	healthy	116.9957	Decimal degrees	none reported	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	G84759	UCSD: Dorrestein lab	TRUE	6	RA3	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	female	F	not applicable	not applicable	fibrous	no	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84760	614198	4.16	years	RUUXA	no	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	Blood drawn; normal levels	tube; swube	manually	not applicable	18	2/2/18	none reported	2/2/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not applicable	lb	no	beef	TRUE	5/3/14	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	3	phase 1	1	G84760_RH10_01_35757.mzXML	USA:CA:San Diego	TRUE	4.16	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	RUUXA	32536	not provided	missing: not provided	35757	33.0974	Decimal degrees	adult	healthy	116.9957	Decimal degrees	none reported	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	G84760	UCSD: Dorrestein lab	TRUE	6	RH10	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	male	M	NO	not applicable	not provided	no	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84761	615390	3.91	years	OKUBI	no	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	Blood drawn, normal levels	tube; swube	manually	not applicable	16	1/31/18	none reported	1/31/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not applicable	lb	no	beef	TRUE	9/1/14	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	3	phase 1	1	G84761_BD5_01_35780.mzXML	USA:CA:San Diego	TRUE	3.91	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	OKUBI	32536	not provided	missing: not provided	35780	33.0974	Decimal degrees	adult	healthy	116.9957	Decimal degrees	none reported	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	G84761	UCSD: Dorrestein lab	TRUE	7	BD5	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	male	M	NO	not applicable	not provided	no	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84762	615391	3.91	years	ISOKA	yes	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	Blood drawn; normal levels	tube; swube	manually	not applicable	16	1/31/18	none reported	1/31/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not collected	lb	no	beef	TRUE	9/1/14	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	3	phase 1	1	G84762_BE3_01_35783.mzXML	USA:CA:San Diego	TRUE	3.91	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	ISOKA	32536	not provided	missing: not provided	35783	33.0974	Decimal degrees	adult	healthy	116.9957	Decimal degrees	medication: amoxicillin, flagyl, omezaprole	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	G84762	UCSD: Dorrestein lab	TRUE	7	BE3	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	male	M	NO	not applicable	not provided	no	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84763	610376	7.66	years	KIBURI	no	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	Liver biopsy; healthy	tube; swube	manually	not applicable	16	1/31/18	none reported	1/31/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not collected	lb	no	beef	TRUE	11/15/10	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	2	phase 1	1	G84763_RB10_01_35680.mzXML	USA:CA:San Diego	TRUE	7.66	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	KIBURI	32536	not provided	missing: not provided	35680	33.0974	Decimal degrees	adult	healthy	116.9957	Decimal degrees	none reported	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	G84763	UCSD: Dorrestein lab	TRUE	6	RB10	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	male	M	NO	not applicable	not provided	no	1861841	overnight	not provided	not collected	pm	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84764	609025	9.4	years	AMARA	no	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	CLNS; mild	tube; swube	manually	not applicable	17	2/1/18	none reported	2/1/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not collected	lb	no	beef	TRUE	2/18/09	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	5	phase 1	1	G84764_BD3_01_35778.mzXML	USA:CA:San Diego	FALSE	9.4	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	AMARA	32536	not provided	missing: not provided	35778	33.0974	Decimal degrees	adult	CLNS; mild	116.9957	Decimal degrees	medication: denamarin	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	G84764	UCSD: Dorrestein lab	TRUE	7	BD3	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	female	F	not applicable	not applicable	not provided	denamarin	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84765	610376	7.66	years	KIBURI	no	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	Liver biopsy; healthy	tube; swube	manually	not applicable	17	2/1/18	none reported	2/1/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not collected	lb	no	beef	TRUE	11/15/10	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	2	phase 1	1	G84765_RD10_01_35704.mzXML	USA:CA:San Diego	TRUE	7.66	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	KIBURI	32536	not provided	missing: not provided	35704	33.0974	Decimal degrees	adult	healthy	116.9957	Decimal degrees	none reported	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	G84765	UCSD: Dorrestein lab	TRUE	6	RD10	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	male	M	NO	not applicable	A lot of hair	no	1861841	overnight	not provided	not collected	pm	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84766	614426	3.91	years	BAHATI	no	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	Blood drawn; normal levels	tube; swube	manually	not applicable	18	2/2/18	none reported	2/2/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not applicable	lb	no	beef	TRUE	9/1/14	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	3	phase 1	1	G84766_RA4_01_35660.mzXML	USA:CA:San Diego	TRUE	3.91	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	BAHATI	32536	not provided	missing: not provided	35660	33.0974	Decimal degrees	adult	healthy	116.9957	Decimal degrees	none reported	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	G84766	UCSD: Dorrestein lab	TRUE	6	RA4	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	female	F	not applicable	not applicable	white pieces	no	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84767	615390	3.91	years	OKUBI	no	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	Blood drawn, normal levels	tube; swube	manually	not applicable	17	2/1/18	none reported	2/1/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not applicable	lb	no	beef	TRUE	9/1/14	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	3	phase 1	1	G84767_RA10_01_35666.mzXML	USA:CA:San Diego	TRUE	3.91	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	OKUBI	32536	not provided	missing: not provided	35666	33.0974	Decimal degrees	adult	healthy	116.9957	Decimal degrees	none reported	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	G84767	UCSD: Dorrestein lab	TRUE	6	RA10	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	male	M	NO	not applicable	not provided	no	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84768	615391	3.91	years	ISOKA	yes	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	Blood drawn; normal levels	tube; swube	manually	not applicable	17	2/1/18	none reported	2/1/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not collected	lb	no	beef	TRUE	9/1/14	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	3	phase 1	1	G84768_RG10_01_35745.mzXML	USA:CA:San Diego	TRUE	3.91	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	ISOKA	32536	not provided	missing: not provided	35745	33.0974	Decimal degrees	adult	healthy	116.9957	Decimal degrees	medication: amoxicillin, flagyl, omezaprole	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	G84768	UCSD: Dorrestein lab	TRUE	6	RG10	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	male	M	NO	not applicable	not provided	no	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
11872.G84769	615391	3.91	years	ISOKA	yes	UBERON:gastrointestinal tract	UBERON:feces	UBERON:colon	Blood drawn; normal levels	tube; swube	manually	not applicable	18	2/2/18	none reported	2/2/18	All cats on Special Beef	no	stool	not collected	lb	beef	not collected	not collected	lb	no	beef	TRUE	9/1/14	not provided	meters	Host-associated	Animal	animal distal gut	research facility	mammalia-associated habitat	feces	host-associated	4	phase 1	1	G84769_RB11_01_35681.mzXML	USA:CA:San Diego	TRUE	3.91	years	gastrointestinal tract	feces	gastrointestinal tract	cheetah	not provided	missing: not provided	Acinonyx jubatus	ISOKA	32536	not provided	missing: not provided	35681	33.0974	Decimal degrees	adult	healthy	116.9957	Decimal degrees	medication: amoxicillin, flagyl, omezaprole	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	G84769	UCSD: Dorrestein lab	TRUE	6	RB11	11872	frozen at -80C	feces	Wildlife Discoveries	feces metagenome	male	M	NO	not applicable	not provided	no	1861841	overnight	not provided	not collected	am	not provided	Not applicable	not collected	min	SD Cheetahs
